Name,beta,gamma,n_shots,test_accuracy
devout-sweep-197,10,10000,20,0.315999991
honest-sweep-581,25,100,20,0.315999988
northern-sweep-637,25,5000,20,0.315999985
stellar-sweep-181,10,100,20,0.313999999
curious-sweep-589,25,1000,20,0.313999993
cosmic-sweep-781,75,50,20,0.313999987
jumping-sweep-221,10,50,20,0.311999995
skilled-sweep-229,10,75,20,0.309999996
dulcet-sweep-565,25,0.001,20,0.30999999
dainty-sweep-789,75,75,20,0.309999987
smart-sweep-741,75,100,20,0.309999987
feasible-sweep-597,25,10000,20,0.309999987
crimson-sweep-709,50,75,20,0.307999992
fast-sweep-605,25,5,20,0.307999989
leafy-sweep-573,25,10,20,0.307999989
crisp-sweep-693,50,25,20,0.307999983
summer-sweep-317,100,5000,20,0.306
celestial-sweep-661,50,100,20,0.305999994
curious-sweep-213,10,25,20,0.305999991
absurd-sweep-701,50,50,20,0.305999982
chocolate-sweep-205,10,5,20,0.303999999
fearless-sweep-173,10,10,20,0.301999992
true-sweep-165,10,0.001,20,0.301999992
pious-sweep-717,50,5000,20,0.297999987
soft-sweep-669,50,1000,20,0.297999984
devout-sweep-677,50,10000,20,0.293999991
genial-sweep-557,5,5000,20,0.291999993
super-sweep-797,75,5000,20,0.289999995
firm-sweep-517,5,10000,20,0.287999991
northern-sweep-269,100,1000,20,0.287999991
rare-sweep-749,75,1000,20,0.285999992
still-sweep-757,75,10000,20,0.283999997
fragrant-sweep-509,5,1000,20,0.283999991
lilac-sweep-277,100,10000,20,0.281999996
different-sweep-533,5,25,20,0.277999988
stoic-sweep-541,5,50,20,0.27599999
eternal-sweep-549,5,75,20,0.273999995
trim-sweep-525,5,5,20,0.271999991
azure-sweep-501,5,100,20,0.271999991
mild-sweep-485,5,0.001,20,0.26999999
soft-sweep-493,5,10,20,0.267999989
bright-sweep-69,0.001,75,20,0.237999994
electric-sweep-61,0.001,50,20,0.233999997
dutiful-sweep-21,0.001,100,20,0.227999997
